epoch,step,train_loss,val_acc,val_loss
0,49,4.846705436706543,,
0,99,3.7677125930786133,,
0,149,4.026927947998047,,
0,199,3.501987934112549,,
0,249,3.362192153930664,,
0,299,3.4676082134246826,,
0,349,2.9890565872192383,,
0,399,3.125903367996216,,
0,449,3.1745119094848633,,
0,499,3.6383213996887207,,
0,549,2.9858837127685547,,
0,599,3.11574125289917,,
0,649,3.000852108001709,,
0,699,3.141653299331665,,
0,749,3.5349254608154297,,
0,799,2.800447702407837,,
0,849,3.3665761947631836,,
0,899,3.2106311321258545,,
0,949,3.5651769638061523,,
0,999,3.142256021499634,,
0,1013,,0.037651851773262024,3.0514485836029053
1,1049,3.156684637069702,,
1,1099,3.097994565963745,,
1,1149,3.100433588027954,,
1,1199,3.2178030014038086,,
1,1249,2.7878568172454834,,
1,1299,3.3999695777893066,,
1,1349,3.057814598083496,,
1,1399,3.2383015155792236,,
1,1449,3.5571868419647217,,
1,1499,3.2532198429107666,,
1,1549,2.891606569290161,,
1,1599,3.2923479080200195,,
1,1649,2.9476687908172607,,
1,1699,2.552155017852783,,
1,1749,2.9622297286987305,,
1,1799,3.2953081130981445,,
1,1849,3.3835768699645996,,
1,1899,2.710806131362915,,
1,1949,3.200587272644043,,
1,1999,2.8182952404022217,,
1,2027,,0.03398150950670242,2.8983798027038574
2,2049,2.9238908290863037,,
2,2099,3.193690538406372,,
2,2149,3.19217848777771,,
2,2199,3.009237766265869,,
2,2249,3.3326165676116943,,
2,2299,2.504640579223633,,
2,2349,3.0156469345092773,,
2,2399,2.8096323013305664,,
2,2449,2.7613282203674316,,
2,2499,3.230983257293701,,
2,2549,2.794934034347534,,
2,2599,3.227983236312866,,
2,2649,3.0865859985351562,,
2,2699,3.5793838500976562,,
2,2749,3.1361196041107178,,
2,2799,2.7981913089752197,,
2,2849,3.022557020187378,,
2,2899,3.0930330753326416,,
2,2949,3.1422364711761475,,
2,2999,2.799673080444336,,
2,3041,,0.038006849586963654,2.783470630645752
3,3049,2.443122148513794,,
3,3099,2.9962644577026367,,
3,3149,3.1614878177642822,,
3,3199,2.973637580871582,,
3,3249,3.087632894515991,,
3,3299,2.661000967025757,,
3,3349,2.323559284210205,,
3,3399,2.8775336742401123,,
3,3449,2.6126549243927,,
3,3499,3.177988290786743,,
3,3549,2.7295873165130615,,
3,3599,2.72623348236084,,
3,3649,2.747208833694458,,
3,3699,2.669983386993408,,
3,3749,2.8096094131469727,,
3,3799,2.7688653469085693,,
3,3849,2.9895668029785156,,
3,3899,2.7979891300201416,,
3,3949,2.6427290439605713,,
3,3999,2.6161370277404785,,
3,4049,2.724501848220825,,
3,4055,,0.035620979964733124,2.664790391921997
4,4099,2.884289503097534,,
4,4149,2.681098461151123,,
4,4199,2.568495035171509,,
4,4249,2.287402868270874,,
4,4299,2.418480396270752,,
4,4349,2.887829303741455,,
4,4399,2.7708740234375,,
4,4449,2.2743337154388428,,
4,4499,2.7479641437530518,,
4,4549,2.743204355239868,,
4,4599,2.5760650634765625,,
4,4649,3.003462314605713,,
4,4699,2.62404465675354,,
4,4749,2.586458444595337,,
4,4799,2.5668234825134277,,
4,4849,2.686953544616699,,
4,4899,2.6181225776672363,,
4,4949,2.4805386066436768,,
4,4999,2.4072487354278564,,
4,5049,2.703768491744995,,
4,5069,,0.03752610832452774,2.6031200885772705
5,5099,2.367032527923584,,
5,5149,2.5778720378875732,,
5,5199,2.6370298862457275,,
5,5249,2.4843506813049316,,
5,5299,2.910224676132202,,
5,5349,2.882350444793701,,
5,5399,2.540846586227417,,
5,5449,2.5961668491363525,,
5,5499,2.4554169178009033,,
5,5549,2.73999285697937,,
5,5599,2.437570571899414,,
5,5649,2.6453440189361572,,
5,5699,2.648550271987915,,
5,5749,2.6731228828430176,,
5,5799,3.0051629543304443,,
5,5849,3.0038084983825684,,
5,5899,2.819885015487671,,
