epoch,step,train_loss
0,49,4.250082015991211
0,99,4.73301887512207
0,149,4.402445316314697
0,199,4.228160381317139
0,249,4.0406694412231445
0,299,3.964646577835083
0,349,3.972348690032959
0,399,3.658240795135498
0,449,4.030047416687012
0,499,4.007711410522461
0,549,3.6930787563323975
0,599,4.170978546142578
0,649,3.6773087978363037
0,699,3.802948236465454
0,749,3.496042251586914
0,799,3.710294008255005
0,849,3.488494873046875
0,899,3.27736234664917
0,949,3.7531583309173584
0,999,3.8046743869781494
0,1049,3.0792548656463623
0,1099,3.4270029067993164
0,1149,3.2629547119140625
0,1199,3.4269766807556152
0,1249,3.4649829864501953
0,1299,3.14599347114563
0,1349,3.443472385406494
0,1399,3.5674753189086914
0,1449,3.782970666885376
0,1499,3.125534772872925
0,1549,3.307189464569092
0,1599,3.4546213150024414
0,1649,3.1828842163085938
0,1699,3.0862858295440674
0,1749,3.7585229873657227
0,1799,3.6146368980407715
0,1849,3.20495867729187
0,1899,3.403104782104492
0,1949,3.287445545196533
0,1999,2.7738773822784424
0,2049,2.9119298458099365
0,2099,3.6747119426727295
0,2149,3.251962661743164
0,2199,3.282625198364258
0,2249,3.6694459915161133
0,2299,3.3806774616241455
0,2349,2.8307900428771973
0,2399,3.607654333114624
0,2449,3.3617236614227295
0,2499,2.5700013637542725
0,2549,3.1709847450256348
0,2599,3.256516456604004
0,2649,2.7840261459350586
0,2699,3.1459600925445557
0,2749,3.0715749263763428
0,2799,3.3891613483428955
0,2849,3.354422092437744
0,2899,3.2359845638275146
0,2949,2.9917752742767334
0,2999,3.1500043869018555
0,3049,3.6303822994232178
0,3099,3.4090089797973633
0,3149,3.1727867126464844
0,3199,2.8961563110351562
0,3249,3.2736566066741943
0,3299,3.0626049041748047
0,3349,3.286937952041626
0,3399,3.1636874675750732
0,3449,3.0101232528686523
0,3499,3.509554862976074
0,3549,3.2436063289642334
0,3599,3.329413652420044
0,3649,3.251889944076538
0,3699,3.033475160598755
0,3749,3.3314836025238037
0,3799,3.206537961959839
0,3849,2.985046625137329
0,3899,3.5445797443389893
0,3949,3.4829719066619873
0,3999,3.0855886936187744
0,4049,3.3542160987854004
0,4099,3.3011839389801025
0,4149,3.3164966106414795
0,4199,3.329737901687622
0,4249,3.5234200954437256
0,4299,2.8962888717651367
0,4349,3.2423465251922607
0,4399,3.1938130855560303
0,4449,3.4552969932556152
0,4499,3.1823363304138184
0,4549,3.1838881969451904
0,4599,3.5938234329223633
0,4649,3.3179802894592285
0,4699,3.5156257152557373
0,4749,3.334704875946045
0,4799,2.971829891204834
0,4849,3.2079896926879883
0,4899,3.343655586242676
0,4949,3.0531437397003174
0,4999,3.2659339904785156
0,5049,3.41164231300354
0,5099,3.340684652328491
0,5149,3.3413686752319336
0,5199,3.2197959423065186
0,5249,3.615365982055664
0,5299,3.32149338722229
0,5349,2.9416744709014893
0,5399,3.1928837299346924
0,5449,3.443706750869751
0,5499,3.551119565963745
0,5549,3.131901741027832
0,5599,3.1925487518310547
0,5649,3.559795379638672
0,5699,3.150237798690796
0,5749,3.285200357437134
0,5799,3.11911678314209
0,5849,3.212078809738159
0,5899,3.5490379333496094
0,5949,2.761918067932129
0,5999,3.470319986343384
0,6049,3.443298578262329
0,6099,3.3681678771972656
0,6149,2.9554152488708496
0,6199,3.5011367797851562
0,6249,3.196542739868164
0,6299,3.655432939529419
0,6349,3.022498846054077
0,6399,3.077829360961914
0,6449,3.2124269008636475
0,6499,3.526615619659424
0,6549,3.181973695755005
0,6599,2.8590919971466064
0,6649,3.2044930458068848
0,6699,2.760842800140381
0,6749,3.3123559951782227
0,6799,3.393181324005127
0,6849,3.364403009414673
0,6899,3.3642799854278564
0,6949,3.3531203269958496
0,6999,3.475904941558838
0,7049,3.404237747192383
0,7099,3.2242648601531982
0,7149,3.0414652824401855
0,7199,3.083583354949951
0,7249,3.532994270324707
0,7299,3.156414031982422
0,7349,3.4357151985168457
0,7399,3.3066024780273438
0,7449,2.970323085784912
0,7499,3.113673686981201
0,7549,3.3295624256134033
0,7599,3.10813570022583
0,7649,3.35652756690979
0,7699,3.1707913875579834
0,7749,3.244246244430542
0,7799,2.9847331047058105
0,7849,3.3669135570526123
0,7899,3.1060140132904053
0,7949,3.204908609390259
0,7999,2.7789804935455322
0,8049,3.3466289043426514
0,8099,3.339371681213379
0,8149,2.7095627784729004
0,8199,3.0912928581237793
0,8249,3.231867790222168
0,8299,3.014467477798462
0,8349,2.9533228874206543
0,8399,3.043694257736206
0,8449,3.0563154220581055
0,8499,2.944026231765747
0,8549,3.380141019821167
0,8599,3.460864305496216
0,8649,3.123135566711426
0,8699,2.472222328186035
0,8749,2.9496521949768066
0,8799,3.25811767578125
0,8849,3.428438186645508
0,8899,3.486116409301758
0,8949,2.926936626434326
0,8999,3.0812034606933594
0,9049,3.2185957431793213
0,9099,3.1149256229400635
0,9149,3.308342695236206
0,9199,3.5803942680358887
0,9249,3.228919506072998
0,9299,2.7968215942382812
0,9349,3.123885154724121
0,9399,3.0747997760772705
0,9449,3.082005023956299
0,9499,3.2433888912200928
0,9549,2.8803513050079346
0,9599,3.3630990982055664
0,9649,3.140902280807495
0,9699,3.051783800125122
0,9749,2.961148500442505
0,9799,3.318918228149414
