epoch,step,test_acc,test_loss,train_loss,val_acc,val_loss
0,49,,,4.880533218383789,,
0,99,,,4.320795059204102,,
0,149,,,4.698991775512695,,
0,199,,,3.7990903854370117,,
0,249,,,3.8294708728790283,,
0,299,,,4.012231826782227,,
0,349,,,4.072547435760498,,
0,399,,,3.9102375507354736,,
0,449,,,3.253037214279175,,
0,499,,,3.173347234725952,,
0,549,,,3.8628461360931396,,
0,599,,,4.170419216156006,,
0,649,,,3.554234743118286,,
0,699,,,3.343235492706299,,
0,749,,,3.3906638622283936,,
0,799,,,3.516146421432495,,
0,849,,,3.420457363128662,,
0,899,,,3.3730757236480713,,
0,949,,,3.227757692337036,,
0,999,,,3.431037187576294,,
0,1013,,,,0.039439648389816284,3.2369306087493896
1,1049,,,2.995318651199341,,
1,1099,,,3.1856932640075684,,
1,1149,,,2.9564685821533203,,
1,1199,,,3.169677972793579,,
1,1249,,,3.319906234741211,,
1,1299,,,3.3354997634887695,,
1,1349,,,3.6152641773223877,,
1,1399,,,2.9212846755981445,,
1,1449,,,2.6484928131103516,,
1,1499,,,2.929760217666626,,
1,1549,,,3.671936273574829,,
1,1599,,,3.412842273712158,,
1,1649,,,2.8078012466430664,,
1,1699,,,3.7522573471069336,,
1,1749,,,2.8912150859832764,,
1,1799,,,3.037388324737549,,
1,1849,,,3.1903603076934814,,
1,1899,,,3.094215154647827,,
1,1949,,,3.435364007949829,,
1,1999,,,2.9776644706726074,,
1,2027,,,,0.03850473836064339,3.065321207046509
2,2049,,,3.4358248710632324,,
2,2099,,,2.7195005416870117,,
2,2149,,,3.059786081314087,,
2,2199,,,3.317380428314209,,
2,2249,,,3.0390615463256836,,
2,2299,,,3.2482073307037354,,
2,2349,,,3.04841947555542,,
2,2399,,,3.26301908493042,,
2,2449,,,2.7081618309020996,,
2,2499,,,3.083679676055908,,
2,2549,,,2.9322609901428223,,
2,2599,,,3.0344016551971436,,
2,2649,,,2.70241117477417,,
2,2699,,,2.981372117996216,,
2,2749,,,3.3256797790527344,,
2,2799,,,2.677532911300659,,
2,2849,,,3.1300437450408936,,
2,2899,,,2.824890375137329,,
2,2949,,,3.0516672134399414,,
2,2999,,,2.9952259063720703,,
2,3041,,,,0.03581970930099487,2.98252534866333
3,3049,,,3.023454189300537,,
3,3099,,,2.825390100479126,,
3,3149,,,3.166289806365967,,
3,3199,,,3.2157976627349854,,
3,3249,,,2.864398241043091,,
3,3299,,,3.019901752471924,,
3,3349,,,3.173509120941162,,
3,3399,,,2.8921310901641846,,
3,3449,,,2.9226248264312744,,
3,3499,,,2.611234664916992,,
3,3549,,,3.0187675952911377,,
3,3599,,,2.995853900909424,,
3,3649,,,3.268871307373047,,
3,3699,,,3.0877175331115723,,
3,3749,,,2.703253984451294,,
3,3799,,,2.9034366607666016,,
3,3849,,,2.72178053855896,,
3,3899,,,2.6956708431243896,,
3,3949,,,2.752768039703369,,
3,3999,,,2.809208869934082,,
3,4049,,,3.02274489402771,,
3,4055,,,,0.03771982342004776,2.896314859390259
4,4099,,,3.067594051361084,,
4,4149,,,3.0623066425323486,,
4,4199,,,3.014352321624756,,
4,4249,,,2.930959939956665,,
4,4299,,,3.1594371795654297,,
4,4349,,,2.9494597911834717,,
4,4399,,,2.6689252853393555,,
4,4449,,,2.6724135875701904,,
4,4499,,,3.040882110595703,,
4,4549,,,2.889859199523926,,
4,4599,,,2.9806361198425293,,
4,4649,,,2.8368632793426514,,
4,4699,,,3.0365452766418457,,
4,4749,,,2.885528326034546,,
4,4799,,,2.6740429401397705,,
4,4849,,,2.9571447372436523,,
4,4899,,,2.648516893386841,,
4,4949,,,2.916097402572632,,
4,4999,,,2.912806749343872,,
4,5049,,,2.8298943042755127,,
4,5069,,,,0.03798826038837433,2.836303472518921
5,5099,,,2.787381172180176,,
5,5149,,,2.851414442062378,,
5,5199,,,2.714097261428833,,
5,5249,,,2.7356350421905518,,
5,5299,,,2.918274164199829,,
5,5349,,,3.1337907314300537,,
5,5399,,,3.104903221130371,,
5,5449,,,2.964524030685425,,
5,5499,,,2.7870330810546875,,
5,5549,,,2.827704429626465,,
5,5599,,,2.6753766536712646,,
5,5649,,,2.9902493953704834,,
5,5699,,,2.6831276416778564,,
5,5749,,,3.038133382797241,,
5,5799,,,2.734323263168335,,
5,5849,,,2.7557570934295654,,
5,5899,,,3.1686902046203613,,
