epoch,step,train_loss,val_acc,val_loss
0,49,4.369159698486328,,
0,99,4.322971343994141,,
0,149,3.985746145248413,,
0,199,3.759160041809082,,
0,249,3.7389373779296875,,
0,299,3.7451534271240234,,
0,349,3.6030361652374268,,
0,399,3.5736937522888184,,
0,449,3.345346689224243,,
0,499,3.3150792121887207,,
0,549,3.4629294872283936,,
0,599,3.6425869464874268,,
0,649,3.4996988773345947,,
0,699,2.9195637702941895,,
0,749,3.1330511569976807,,
0,799,3.5580663681030273,,
0,849,3.144515037536621,,
0,899,3.2617640495300293,,
0,949,3.1341683864593506,,
0,999,3.3053524494171143,,
0,1013,,0.03679656982421875,3.1526923179626465
1,1049,3.3863565921783447,,
1,1099,3.053565502166748,,
1,1149,3.2553391456604004,,
1,1199,3.328657388687134,,
1,1249,3.27585506439209,,
1,1299,3.0017850399017334,,
1,1349,2.9802024364471436,,
1,1399,3.2629754543304443,,
1,1449,3.113774061203003,,
1,1499,2.9527785778045654,,
1,1549,2.9069724082946777,,
1,1599,3.6165716648101807,,
1,1649,3.1377499103546143,,
1,1699,3.3367364406585693,,
1,1749,3.441547393798828,,
1,1799,3.100855827331543,,
1,1849,2.9539690017700195,,
1,1899,3.036534309387207,,
1,1949,3.205435276031494,,
1,1999,2.9564459323883057,,
1,2027,,0.03881693258881569,2.9154317378997803
2,2049,2.9555211067199707,,
2,2099,3.158332347869873,,
2,2149,2.894212245941162,,
2,2199,3.074240207672119,,
2,2249,2.8294517993927,,
2,2299,3.11488676071167,,
2,2349,2.9219372272491455,,
2,2399,2.768270969390869,,
2,2449,2.604997158050537,,
2,2499,2.8987419605255127,,
2,2549,3.0189754962921143,,
2,2599,2.77412486076355,,
2,2649,2.952523708343506,,
2,2699,3.1089236736297607,,
2,2749,2.868804931640625,,
2,2799,3.4962875843048096,,
2,2849,2.7760045528411865,,
2,2899,3.0581789016723633,,
2,2949,2.9802536964416504,,
2,2999,2.963996648788452,,
2,3041,,0.0373750664293766,2.861628293991089
3,3049,3.0050716400146484,,
3,3099,3.0413053035736084,,
3,3149,2.184293031692505,,
3,3199,2.8577425479888916,,
3,3249,3.1525373458862305,,
3,3299,2.72532057762146,,
3,3349,3.0486810207366943,,
3,3399,2.577951192855835,,
3,3449,2.943251132965088,,
3,3499,3.0746028423309326,,
3,3549,2.809488534927368,,
3,3599,3.1897008419036865,,
3,3649,2.630673408508301,,
3,3699,2.477886915206909,,
3,3749,3.2354907989501953,,
3,3799,2.797027111053467,,
3,3849,2.8721487522125244,,
3,3899,3.0313899517059326,,
3,3949,2.8336398601531982,,
3,3999,3.1173174381256104,,
3,4049,2.964940309524536,,
3,4055,,0.03885212913155556,2.7410664558410645
4,4099,2.943725109100342,,
4,4149,2.8607840538024902,,
4,4199,2.7603774070739746,,
4,4249,2.6080307960510254,,
4,4299,2.865290403366089,,
4,4349,2.5552799701690674,,
4,4399,2.537351608276367,,
4,4449,2.738969326019287,,
4,4499,2.8838388919830322,,
4,4549,2.9704794883728027,,
4,4599,2.838247776031494,,
4,4649,2.9973044395446777,,
4,4699,2.6227617263793945,,
4,4749,2.5575947761535645,,
4,4799,2.5362844467163086,,
4,4849,2.801884889602661,,
4,4899,2.186614513397217,,
4,4949,2.9397482872009277,,
4,4999,2.511549949645996,,
4,5049,2.824911117553711,,
4,5069,,0.03722486272454262,2.6788759231567383
5,5099,2.883436441421509,,
5,5149,2.5216057300567627,,
5,5199,2.8416330814361572,,
5,5249,2.3182153701782227,,
5,5299,2.4438796043395996,,
5,5349,2.5050852298736572,,
